"","Fishkill.Inv.Seq.No","site_id","WBIC","Station.Name","Waterbody.Name","County","State","Lat","Long","Investigation.Start.Date","Season","Season1","Year","Cause.Category","Cause.Type","Mortality.Code","Confidence.Of.Cause.Code","Cause.Group","Cause.Detail","Investigation.Start.Month","Min.Kill.Size","Max.Kill.Size","Bass","Bigmouth.Buffalo","Bowfin","Bluegill","Bullhead","Carp","Catfish","Chub","Cisco","Crappie","Dace","Darter","Dogfish","Drum","Freshwater.Drum","Gizzard.Shad","Golden.Shiner","Minnow","Muskies","Perch","Pike","Pumpkinseed","Round.Goby","Sculpin","Shorthead.Redhorse","Stickleback","Sturgeon","Suckerfish","Sunfish","Sunnies","Trout","Walleye","Brown.Trout","Channel.Catfish","Gar","Largemouth.Bass","Northern.Pike","Rainbow.Smelt","Rock.Bass","Sauger","Smallmouth.Bass","Stonecat","White.Sucker","Whitefish","Yellow.Perch","Acipenseridae","Amiidae","Catostomidae","Centrarchidae","Clupeidae","Cyprinidae","Esocidae","Gasterosteidae","Gobiidae","Ictaluridae","Lepisosteidae","Osmeridae","Percidae","Salmonidae","Sciaenidae"
"29",21,"nhd_120052017",NA,"","BIG STONE LAKE","BIG STONE","MN",45.40992204,-96.61179963,"23-Jul-03","Summer","Summer",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Jul","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",22,"nhd_1101684",NA,"Lake Calhoun","LAKE CALHOUN","HENNEPIN","MN",44.94180224,-93.31175871,"3-Aug-03","Summer","Summer",2003,"NATURAL","INFECTIOUS AGENTS","UNKNOWN","UNKNOWN","INFECTIOUS","COLUMNARIS","Aug","1","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"34",23,"nhd_2723937",NA,"Mink Lake","MINK LAKE","WRIGHT","MN",45.27042477,-94.02649649,"10-Aug-03","Summer","Summer",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Aug","1","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"36",24,"nhd_1101490",NA,"Sweeney Lake","BASSETT CREEK","HENNEPIN","MN",44.99316937,-93.33847984,"14-Aug-03","Summer","Summer",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Aug","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38",25,"nhd_4251934",NA,"Lake Ripley","JEWETT CREEK","MEEKER","MN",45.10674448,-94.54001388,"23-Aug-03","Summer","Summer",2003,"ANTHROPOGENIC","TOXICITY","UNKNOWN","UNKNOWN","ANTHROPOGENIC","ANTHROPOGENIC CONDITION","Aug","1","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"40",26,"nhd_167122172",NA,"Gull Lake","GULL LAKE","CASS","MN",46.45509327,-94.34901297,"24-Aug-03","Summer","Summer",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Aug","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42",27,"nhd_6688281",NA,"Maria Lake","RED RIVER","CLAY","MN",46.86243201,-96.3739158,"24-Aug-03","Summer","Summer",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Aug","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"44",28,"nhd_4251934",NA,"Lake Ripley","JEWETT CREEK","MEEKER","MN",45.10674448,-94.54001388,"26-Aug-03","Summer","Summer",2003,"ANTHROPOGENIC","TOXICITY","UNKNOWN","UNKNOWN","ANTHROPOGENIC","ANTHROPOGENIC CONDITION","Aug","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",29,"nhd_4046678",NA,"Sleepy Eye Lake","SLEEPY EYE LAKE ","BROWN","MN",44.30698677,-94.73378058,"3-Sep-03","Summer","Summer",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Sep","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"49",30,"nhd_4141906",NA,"","LE SUEUR RIVER","BLUE EARTH","MN",44.18645696,-94.01703794,"11-Oct-03","Winter","Winter",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","WINTERKILL","DISSOLVED OXYGEN","Oct","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"51",31,"nhd_4122194",NA,"Wood Lake","YELLOW MEDICINE RIVER","YELLOW MEDICINE","MN",44.68609259,-95.53105159,"17-Oct-03","Winter","Winter",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Oct","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"54",32,"nhd_7157010",NA,"Moose Lake","RAINY RIVER","KOOCHICHING","MN",48.38947826,-93.42448456,"19-Nov-03","Winter","Winter",2003,"ANTHROPOGENIC","TOXICITY","UNKNOWN","UNKNOWN","ANTHROPOGENIC","ANTHROPOGENIC CONDITION","Nov","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
