Site,site_id,Prmnn_I,GNIS_ID,GNIS_Nm,ReachCd,FType,FCode,Lat,Long
110,nhd_1099476,1099476,645744,Lake Josephine,7.01E+12,390,39004,45.03573991,-93.15321506
111,nhd_1099478,1099478,,,7.01E+12,390,39004,45.03675982,-93.33741285
112,nhd_1099486,1099486,646839,Little Lake Johanna,7.01E+12,390,39004,45.03564524,-93.17199015
113,nhd_1099500,1099500,647199,Lost Lake,7.01E+12,390,39004,45.03060623,-93.41547368
114,nhd_1099510,1099510,642531,Crystal Lake,7.01E+12,390,39004,45.02698334,-93.32707372
115,nhd_1099522,1099522,646224,Kohlman Lake,7.01E+12,390,39004,45.02424651,-93.05714485
116,nhd_1099524,1099524,,,7.01E+12,390,39004,45.02521253,-93.03194816
117,nhd_1099526,1099526,644105,Gervais Lake,7.01E+12,390,39004,45.01983232,-93.07048067
118,nhd_1099528,1099528,651313,School Lake,7.01E+12,390,39004,45.02298132,-93.59842201
119,nhd_1099530,1099530,650327,Round Lake,7.01E+12,390,39004,45.02394919,-93.09988264
120,nhd_1099542,1099542,651244,Savage Lake,7.01E+12,390,39004,45.02009504,-93.091511
121,nhd_1099552,1099552,639925,Bennett Lake,7.01E+12,390,39004,45.01814237,-93.14167135
122,nhd_1099554,1099554,645127,Holy Name Lake,7.01E+12,390,39004,45.01556774,-93.53189777
123,nhd_1099560,1099560,650033,Katrina Lake,7.01E+12,390,39004,45.00928449,-93.62503774
124,nhd_1099588,1099588,646064,Keller Lake,7.01E+12,390,39004,45.00783176,-93.06114817
125,nhd_1099600,1099600,653747,Wolsfeld Lake,7.01E+12,390,39004,45.00520271,-93.57231408
126,nhd_1100962,1100962,653034,Tanners Lake,7.01E+12,390,39004,44.95267471,-92.98143073
127,nhd_1100974,1100974,639722,Battle Creek Lake,7.01E+12,390,39004,44.94497149,-92.97208818
128,nhd_1101008,1101008,640947,Carver Lake,7.01E+12,390,39004,44.90640225,-92.98143571
129,nhd_1101070,1101070,649860,Lake Rebecca,7.01E+12,390,39004,44.74979355,-92.8689072
