Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
402,402,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,1378,1-Jun-09,Summer,Summer,2009,231,NATURAL,INFECTIOUS AGENTS,SELECTIVE,KNOWN,INFECTIOUS,COLUMNARIS,Jun,Large Number,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
403,403,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,2659,30-May-12,Summer,Winter,2012,231,NATURAL,INFECTIOUS AGENTS,SELECTIVE,KNOWN,INFECTIOUS,COLUMNARIS,May,Fair Number,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
404,404,POLK,WI,SOMERS LAKE,SOMERS LAKE_GENERAL LAKE STATION,2665900,113128,10005046,1723,1-Jun-10,Summer,Summer,2010,101,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
407,407,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,1459,22-Jun-09,Summer,Summer,2009,1187,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Excludable,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
408,408,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,1796,7-Jun-10,Summer,Summer,2010,1187,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
409,409,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,2260,17-Jun-11,Summer,Summer,2011,1186,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
410,410,POLK,WI,WHITE ASH LAKE,WHITE ASH LAKE_GENERAL LAKE STATION,2628600,121860,10004781,1379,4-Jun-09,Summer,Summer,2009,153,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Fair Number,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
411,411,POLK,WI,WILD GOOSE LAKE,WILD GOOSE LAKE_GENERAL LAKE STATION,2600400,121885,10004971,562,12-Jun-07,Summer,Summer,2007,182,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
412,412,POLK,WI,WILD GOOSE LAKE,WILD GOOSE LAKE_GENERAL LAKE STATION,2600400,121885,10004971,1173,19-Jun-08,Summer,Summer,2008,182,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
417,417,PRICE,WI,BLOCKHOUSE LAKE,BLOCKHOUSE LAKE_GENERAL LAKE STATION,2256800,109203,10005234,1740,1-Jun-10,Summer,Summer,2010,242,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Few,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
