Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
52,52,BURNETT,WI,WOOD LAKE,WOOD LAKE_GENERAL LAKE STATION,2649800,121965,10001891,2904,17-Jul-12,Summer,Summer,2012,521,NOT INVESTIGATED,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Excludable,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,BURNETT,WI,YELLOW LAKE,YELLOW LAKE_GENERAL LAKE STATION,2675200,123753,10001044,2961,20-Jul-12,Summer,Summer,2012,2287,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
57,57,CALUMET,WI,CHILTON MILLPOND 75,CHILTON MILLPOND_GENERAL LAKE STATION,81200,122182,10001970,1211,30-Jun-08,Summer,Summer,2008,10,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,Fair Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
59,59,CALUMET,WI,LAKE WINNEBAGO,LAKE WINNEBAGO - OFF QUINNEY,131100,104509,104509,758,14-Jun-07,Summer,Summer,2007,NA,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jun,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,CALUMET,WI,UNNAMED SINGLE-LINE STREAM T20N-R18E-S36,DOT RETENTION POND,131200,22753898,10022841,799,27-Aug-07,Summer,Summer,2007,NA,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Aug,Fair Number,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,CHIPPEWA,WI,WOLF RIVER,WOLF RIVER,2146000,104427,104427,75,8-Sep-05,Summer,Summer,2005,1.5,UNKNOWN,ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
71,71,COLUMBIA,WI,CRYSTAL LAKE,CRYSTAL LAKE_GENERAL LAKE STATION,979000,109720,10001194,64,19-Aug-05,Summer,Summer,2005,500,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,UNKNOWN,SUMMERKILL,DISSOLVED OXYGEN,Aug,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,72,COLUMBIA,WI,FRENCH CREEK,PDX: FRENCH CREEK,172100,34944411,10017886,2766,6-Jul-12,Summer,Summer,2012,2,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,Fair Number,,UNKNOWN,UNKNOWN,UNKNOWN,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
74,74,COLUMBIA,WI,LAKE WISCONSIN,LAKE WISCONSIN_GENERAL LAKE STATION,1260600,122590,10007820,2767,9-Jul-12,Summer,Summer,2012,50,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Fair Number,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,COLUMBIA,WI,LAZY LAKE (FALL R MILLPOND),LAZY LAKE_GENERAL LAKE STATION,843400,122597,10001191,2885,11-Jul-12,Summer,Summer,2012,160,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Fair Number,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
83,83,CRAWFORD,WI,MISSISSIPPI RIVER,MISSISSIPPI RIVER ALONG INDIAN ISLE 1,721000,23158191,10028951,1185,25-Jun-08,Summer,Summer,2008,0.5,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jun,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,88,DANE,WI,LAKE MENDOTA,LAKE MENDOTA_GENERAL LAKE STATION,805400,122559,10001207,1532,26-Jun-09,Summer,Summer,2009,100,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jun,Few,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,91,DANE,WI,LAKE MONONA,LAKE MONONA,804600,122563,10001208,1533,7-Jul-09,Summer,Summer,2009,20,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jul,Few,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,93,DANE,WI,LAKE MONONA,LAKE MONONA,804600,122563,10001208,2279,20-Jun-11,Summer,Summer,2011,10,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,SELECTIVE,UNKNOWN,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Jun,Few,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
96,96,DANE,WI,LAKE WAUBESA,LAKE WAUBESA - DEEP HOLE,803700,2344,133125,3030,26-Jul-12,Summer,Summer,2012,40,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Few,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,DANE,WI,MUD LAKE,LOWER MUD LAKE,803400,63896605,10037631,2935,10-Jul-12,Summer,Summer,2012,2,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
100,100,DANE,WI,STARKWEATHER CREEK,STARTWATER CREEK -- OLBRICH PARK BOAT RAMP,805100,20407,10017832,2735,23-Jun-12,Summer,Summer,2012,0.1,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,Fair Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,102,DANE,WI,YAHARA RIVER,YAHARA RIVER - YAHARA RD,798300,2520,133469,2733,15-Jun-12,Summer,Summer,2012,0.5,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2
105,105,DODGE,WI,BEAVER DAM RIVER,BEAVER DAM RIVER BELOW THE DAM,831400,64314975,10037761,2838,7-Jul-12,Summer,Summer,2012,1,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,UNKNOWN,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
108,108,DODGE,WI,DEAD CREEK,DEAD CREEK,860000,104454,104454,54,6-Jun-05,Summer,Summer,2005,5,UNKNOWN,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,Fair Number,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,109,DODGE,WI,EAST BRANCH ROCK RIVER,ROCK RIVER-EAST BRANCH -- GREENHEAD LANDING EAST BRANCH ROCK RIVER,861400,20430,10017855,2809,6-Jul-12,Summer,Summer,2012,4,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,UNKNOWN,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,110,DODGE,WI,FOX LAKE,FOX LAKE,835800,76642,10001255,2844,9-Jul-12,Summer,Summer,2012,2713,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
114,114,DODGE,WI,ROCK RIVER,"ROCK RIVER AT HUSTISFORD, WI",788800,2768,143341,2702,21-Jun-12,Summer,Summer,2012,0.66,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
115,115,DODGE,WI,ROCK RIVER,"ROCK RIVER AT HUSTISFORD, WI",788800,2768,143341,3101,7-Sep-12,Summer,Summer,2012,0.13,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Sep,Large Number,,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9
117,117,DODGE,WI,ROCK RIVER,ROCK RIVER-HORICON,788800,104407,104407,2718,20-Jun-12,Summer,Summer,2012,0.5,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
118,118,DODGE,WI,WEST BRANCH ROCK RIVER,WEST BRANCH ROCK RIVER - PEACHY ROAD,861300,64515100,10037824,2828,6-Jul-12,Summer,Summer,2012,4,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,Large Number,,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
121,121,DOOR,WI,HEINS CREEK,HEINS CREEK AT HWY 57 CULVERT,98400,50055,10015772,1551,24-Jul-09,Summer,Summer,2009,2,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,TOTAL,KNOWN,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Jul,Few,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,123,DOOR,WI,LAKE MICHIGAN,GREEN BAY,20,104425,104425,62,11-Aug-05,Summer,Summer,2005,NA,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Aug,Massive,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,125,DOOR,WI,STURGEON BAY,SAWYER HARBOR_GENERAL LAKE STATION,88,112916,153262,3331,9-Jul-13,Summer,Summer,2013,1,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jul,Fair Number,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
127,127,DOUGLAS,WI,LYMAN LAKE,LYMAN LAKE_GENERAL LAKE STATION,2856400,122681,10001292,2379,9-Aug-11,Summer,Summer,2011,370,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Aug,Fair Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
136,136,FOND DU LAC,WI,KETTLE MORAINE LAKE,KETTLE MORAINE LAKE_GENERAL LAKE STATION,43900,110901,10002459,2905,8-Jul-12,Summer,Summer,2012,227,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,SUMMERKILL,THERMAL STRESS,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
137,137,FOND DU LAC,WI,LAKE WINNEBAGO,LAKE WINNEBAGO - 3RD REEF,131100,104510,104510,759,13-Jun-07,Summer,Summer,2007,NA,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jun,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,150,GRANT,WI,GREGORY BR,GREGORY CREEK GENERAL SURVEY,964400,133697,10015171,3023,30-Jul-12,Summer,Summer,2012,1,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
153,153,GRANT,WI,PLATTE RIVER,PLATTE RIVER,943600,104456,104456,71,12-Sep-05,Summer,Summer,2005,1.4,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
155,155,GREEN,WI,BECKMAN LAKE 4,BECKMAN LAKE_GENERAL LAKE STATION,894700,122059,10007827,1221,17-Jul-08,Summer,Summer,2008,40,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jul,Massive,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,156,GREEN LAKE,WI,GRAND RIVER MARSH*,GRAND RIVER MARSH_GENERAL LAKE STATION,159900,122392,10003928,2801,10-Jul-12,Summer,Summer,2012,1000,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Large Number,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,157,GREEN LAKE,WI,LITTLE GREEN LAKE,LITTLE GREEN LAKE_GENERAL LAKE STATION,162500,111305,10002699,3082,6-Sep-12,Summer,Summer,2012,20,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
158,158,GREEN LAKE,WI,PUCKAWAY LAKE,PUCKAWAY LAKE_GENERAL LAKE STATION,158700,122920,10002717,2772,6-Jul-12,Summer,Summer,2012,2500,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
165,165,JEFFERSON,WI,HOPE LAKE,HOPE LAKE_GENERAL LAKE STATION,809800,110648,10003049,2882,10-Jul-12,Summer,Summer,2012,5,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,COMPOUND ENVIRONMENTAL STRESS,Jul,Few,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
166,166,JEFFERSON,WI,LAKE KOSHKONONG,LAKE KOSHKONONG_GENERAL LAKE STATION,808700,128868,10005288,2866,7-Jul-12,Summer,Summer,2012,3000,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,THERMAL STRESS,Jul,Fair Number,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
169,169,JEFFERSON,WI,ROME MILL POND,ROME MILLPOND_GENERAL LAKE STATION,824400,122961,10003055,2857,10-Jul-12,Summer,Summer,2012,10,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,SUMMERKILL,DISSOLVED OXYGEN,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
183,183,LA CROSSE,WI,MISSISSIPPI RIVER,"MISSISSIPPI RIVER, POOL 7",721000,104434,104434,766,9-Jul-07,Summer,Summer,2007,0.01,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,SUMMERKILL,UNKNOWN,Jul,UNKNOWN,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
188,188,LA CROSSE,WI,UNNAMED UNSPECIFIED OPEN WATER T16N-R7W-S33,WETLAND OFF MYRICK PARK DRIVE,5561990,64109439,10037727,2752,3-Jul-12,Summer,Summer,2012,NA,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,TOTAL,KNOWN,SUMMERKILL,DISSOLVED OXYGEN,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
