"","WBIC","site_id"
"353",2387200,"nhd_13121252"
"354",2650900,"nhd_2643660"
"355",2461500,"nhd_2266663"
"356",2651800,"nhd_2643642"
"357",2496100,"nhd_2264295"
"358",1611100,"nhd_13394263"
"359",2453900,NA
"360",2628800,"nhd_2646446"
"361",2202600,"nhd_12980479"
"362",2624200,"nhd_2646764"
"363",2096700,"nhd_13081141"
"364",2506400,NA
"365",1374300,"nhd_14704124"
"366",455300,"nhd_6808754"
"367",518300,"nhd_6819970"
"368",98600,"nhd_13062671"
"369",306600,NA
"370",2640700,"nhd_2644102"
"371",632800,"nhd_6842811"
"372",1520900,"nhd_13395163"
"373",1560400,"nhd_13395439"
"374",2104500,"nhd_13079127"
"375",1304600,NA
"376",856800,"nhd_13290678"
"377",754400,"nhd_14767874"
"378",748800,"nhd_14768002"
"379",794200,"nhd_13294882"
"380",757900,"nhd_14768000"
"381",255000,"nhd_9036043"
"382",191100,"nhd_9036137"
"383",2691900,"nhd_1849951"
"384",2688800,"nhd_2262401"
"385",2460900,"nhd_1849873"
"386",1843500,"nhd_13343956"
"387",2316100,"nhd_13343730"
"388",2480100,"nhd_13080215"
"389",2674200,"nhd_1855083"
"390",262400,"nhd_9035981"
"391",803700,"nhd_120052351"
"392",1343600,"nhd_14708526"
"393",985000,"nhd_14704110"
"394",989200,"nhd_13393939"
"395",322800,"nhd_9029767"
"396",1529700,"nhd_13394571"
"397",2109600,"nhd_13078817"
"398",1409100,"nhd_167120891"
"399",2488300,"nhd_2647928"
"400",2327500,"nhd_13343530"
"401",2405100,NA
"402",993300,"nhd_13391591"
"403",2426100,"nhd_13117840"
"404",2341500,"nhd_13343898"
"405",2435700,"nhd_13118764"
"406",2563300,NA
"407",196100,"nhd_9036109"
"408",1773300,NA
"409",1012000,"nhd_14704108"
"410",2471200,"nhd_2646880"
"411",992400,"nhd_14726430"
"412",1467100,"nhd_14729142"
"413",1469100,"nhd_14729154"
"414",530400,"nhd_6818338"
"415",2200500,"nhd_12980643"
"416",379300,"nhd_9026537"
"417",1256500,"nhd_13631587"
"418",294500,"nhd_9029909"
