"","site_id","lat","long","year","month","fishkill.inv.seq.no","cause.group","anthropogenic","infectious","summerkill","thermal_stress","unknown","winterkill"
"126","nhd_1099458","45.04014257","-93.32144706","2006","jun","168","anthropogenic",1,0,0,0,0,0
"127","nhd_2439768","44.1860565","-92.47522574","2006","jun","169","unknown",0,0,0,0,1,0
"128","nhd_4141938","44.10935686","-94.20297868","2006","jun","171","infectious",0,1,0,0,0,0
"129","nhd_22327103","47.38774647","-94.71777627","2006","jun","172","infectious",0,1,0,0,0,0
"130","nhd_1097324","45.0773045","-92.98046871","2006","jun","173","infectious",0,1,0,0,0,0
"131","nhd_1099052","45.11415825","-93.01556735","2006","jun","174","infectious",0,1,0,0,0,0
"132","nhd_2647582","45.15669697","-92.80446526","2006","jun","175","infectious",0,1,0,0,0,0
"133","nhd_2385462","44.71693182","-93.42622552","2006","jun","176","infectious",0,1,0,0,0,0
"134","nhd_1792875","46.89872693","-92.30978578","2006","jun","177","summerkill",0,0,1,0,0,0
"135","nhd_2647106","45.27360091","-92.94888467","2006","jun","178","infectious",0,1,0,0,0,0
"136","nhd_4252116","45.05270142","-94.05342573","2006","jun","179","infectious",0,1,0,0,0,0
"137","nhd_2034063","43.89157965","-93.34907033","2006","jun","180","infectious",0,1,0,0,0,0
"138","nhd_10595614","44.18627016","-93.61422323","2006","jun","181","infectious",0,1,0,0,0,0
"139","nhd_1873435","44.7405488","-92.84055839","2006","jun","182","unknown",0,0,0,0,1,0
"141","nhd_9026391","45.43506901","-88.94646064","2006","jun","184","infectious",0,1,0,0,0,0
"142","nhd_1101514","44.9889298","-93.55790113","2006","jun","185","summerkill",0,0,1,0,0,0
"143","nhd_13393787","45.86877783","-89.89511093","2006","jun","186","infectious",0,1,0,0,0,0
"144","nhd_2032117","44.21035495","-93.70335415","2006","jun","187","summerkill",0,0,1,0,0,0
"145","nhd_2388558","44.45432375","-93.50141312","2006","jun","188","summerkill",0,0,1,0,0,0
"146","nhd_2388552","44.46206989","-93.49478657","2006","jun","189","summerkill",0,0,1,0,0,0
"147","nhd_120051921","45.00039541","-93.52097767","2006","jul","190","summerkill",0,0,1,0,0,0
"148","nhd_1101490","44.99316937","-93.33847984","2006","jul","191","summerkill",0,0,1,0,0,0
"149","nhd_2352378","44.95577368","-93.79855251","2006","jul","192","infectious",0,1,0,0,0,0
"150","nhd_14710140","43.9816586","-90.52329629","2006","jul","193","infectious",0,1,0,0,0,0
"151","nhd_1757004","47.00511353","-92.01038433","2006","jul","194","summerkill",0,0,1,0,0,0
"152","nhd_2628524","46.3874382","-92.59673797","2006","jul","195","infectious",0,1,0,0,0,0
"154","nhd_2650162","45.38506112","-93.08468193","2006","jul","198","summerkill",0,0,1,0,0,0
"155","nhd_6688281","46.86243201","-96.3739158","2006","jul","201","summerkill",0,0,1,0,0,0
"158","nhd_6816830","45.71840702","-88.41905154","2006","nov","204","infectious",0,1,0,0,0,0
"159","nhd_1102576","44.80568462","-93.01940461","2006","nov","205","winterkill",0,0,0,0,0,1
"160","nhd_9029805","44.80076922","-88.40484345","2006","dec","206","winterkill",0,0,0,0,0,1
"161","nhd_2439768","44.1860565","-92.47522574","2007","jan","207","unknown",0,0,0,0,1,0
"162","nhd_2721991","45.3014598","-93.83666567","2007","jan","208","thermal stress",0,0,0,1,0,0
"163","nhd_2721991","45.3014598","-93.83666567","2007","mar","209","thermal stress",0,0,0,1,0,0
"165","nhd_1102576","44.80568462","-93.01940461","2007","mar","211","unknown",0,0,0,0,1,0
"166","nhd_2439768","44.1860565","-92.47522574","2007","mar","214","unknown",0,0,0,0,1,0
"167","nhd_6819818","45.14429496","-88.21075353","2007","apr","215","anthropogenic",1,0,0,0,0,0
"168","nhd_2032055","44.23047642","-93.60773045","2007","apr","216","unknown",0,0,0,0,1,0
"170","nhd_14730086","44.92151568","-89.63329825","2007","apr","218","summerkill",0,0,1,0,0,0
"171","nhd_120052443","44.01905395","-88.41003568","2007","may","219","infectious",0,1,0,0,0,0
"173","nhd_12174544","44.13084103","-88.0478698","2007","may","224","unknown",0,0,0,0,1,0
"174","nhd_12174540","44.13826755","-88.03803445","2007","may","225","unknown",0,0,0,0,1,0
"175","nhd_13393937","45.87022019","-89.86388559","2007","may","230","summerkill",0,0,1,0,0,0
"176","nhd_120052161","45.50597936","-89.19946626","2007","may","240","infectious",0,1,0,0,0,0
"177","nhd_6863055","44.06997615","-88.63849539","2007","may","241","unknown",0,0,0,0,1,0
"178","nhd_1855171","45.97275598","-92.11712023","2007","may","255","infectious",0,1,0,0,0,0
"179","nhd_9029767","44.80760297","-88.51839678","2007","may","259","unknown",0,0,0,0,1,0
"180","nhd_120053596","43.49392864","-88.88436142","2007","may","265","infectious",0,1,0,0,0,0
"181","nhd_9026645","45.16300485","-88.98502615","2007","may","268","infectious",0,1,0,0,0,0
"182","nhd_12175128","43.93143795","-87.89114455","2007","may","274","infectious",0,1,0,0,0,0
"183","nhd_167120756","45.49762963","-92.1509821","2007","may","275","infectious",0,1,0,0,0,0
"184","nhd_2266639","45.79435278","-92.3986441","2007","may","276","infectious",0,1,0,0,0,0
"185","nhd_2266211","45.90936778","-92.33785407","2007","may","277","infectious",0,1,0,0,0,0
"186","nhd_14726148","45.42469069","-89.46712211","2007","may","278","infectious",0,1,0,0,0,0
"187","nhd_13394761","45.71115221","-89.69931447","2007","may","279","winterkill",0,0,0,0,0,1
"188","nhd_2267225","45.61402673","-92.19740687","2007","may","280","infectious",0,1,0,0,0,0
"189","nhd_2647948","45.04825968","-92.82335736","2007","jun","282","infectious",0,1,0,0,0,0
"190","nhd_1098396","45.30549419","-93.16641193","2007","jun","283","infectious",0,1,0,0,0,0
"191","nhd_1101504","44.98762789","-93.0531108","2007","jun","284","infectious",0,1,0,0,0,0
"192","nhd_1099136","45.10976393","-93.50128226","2007","jun","285","infectious",0,1,0,0,0,0
"193","nhd_13081151","45.33796505","-91.65365728","2007","jun","286","infectious",0,1,0,0,0,0
"194","nhd_1855223","45.96109888","-92.07445799","2007","jun","287","infectious",0,1,0,0,0,0
"196","nhd_6842187","45.94682936","-88.93380447","2007","jun","289","infectious",0,1,0,0,0,0
"197","nhd_6807740","45.47604859","-88.65652747","2007","jun","290","infectious",0,1,0,0,0,0
"198","nhd_12988539","45.89413542","-89.9371561","2007","jun","292","infectious",0,1,0,0,0,0
"199","nhd_13393651","45.91299418","-89.82013082","2007","jun","294","infectious",0,1,0,0,0,0
"200","nhd_13078193","45.76737079","-91.77026949","2007","jun","295","infectious",0,1,0,0,0,0
"201","nhd_13078839","45.6306858","-91.9045794","2007","jun","297","infectious",0,1,0,0,0,0
"202","nhd_13282702","43.07828338","-88.9305651","2007","jun","298","infectious",0,1,0,0,0,0
"203","nhd_13393729","45.8977098","-89.82038184","2007","jun","299","infectious",0,1,0,0,0,0
"204","nhd_6863055","44.06997615","-88.63849539","2007","jun","300","infectious",0,1,0,0,0,0
"205","nhd_9033933","44.1445728","-88.81371805","2007","jun","303","infectious",0,1,0,0,0,0
"206","nhd_1099370","45.05503776","-93.43318157","2007","jun","308","summerkill",0,0,1,0,0,0
"207","nhd_9028163","45.48782586","-89.01417398","2007","jun","309","infectious",0,1,0,0,0,0
"208","nhd_13395097","45.63395835","-89.33030566","2007","jun","310","infectious",0,1,0,0,0,0
"209","nhd_22188808","48.28411202","-94.55923658","2007","jun","311","infectious",0,1,0,0,0,0
"210","nhd_13394649","45.73213123","-89.68273419","2007","jun","312","infectious",0,1,0,0,0,0
"211","nhd_13393637","45.91661806","-89.45370334","2007","jun","313","infectious",0,1,0,0,0,0
"212","nhd_2264087","45.83989908","-91.82496915","2007","jun","314","infectious",0,1,0,0,0,0
"213","nhd_13394777","45.67548706","-89.44789363","2007","jun","315","infectious",0,1,0,0,0,0
"214","nhd_13394895","45.6830021","-89.46425476","2007","jun","316","infectious",0,1,0,0,0,0
"215","nhd_120052443","44.01905395","-88.41003568","2007","jun","317","infectious",0,1,0,0,0,0
"216","nhd_13395173","45.60906997","-89.33271351","2007","jun","318","infectious",0,1,0,0,0,0
"217","nhd_7079132","48.42697264","-96.65304708","2007","jun","319","summerkill",0,0,1,0,0,0
"218","nhd_9026429","45.41179568","-88.89242118","2007","jun","320","infectious",0,1,0,0,0,0
"219","nhd_9026337","45.47914454","-88.97673391","2007","jun","321","infectious",0,1,0,0,0,0
"220","nhd_9022639","45.67664322","-88.98070776","2007","jun","322","infectious",0,1,0,0,0,0
"221","nhd_13395309","45.5624708","-89.63306197","2007","jun","325","infectious",0,1,0,0,0,0
"222","nhd_2646570","45.43285233","-92.41537516","2007","jun","326","infectious",0,1,0,0,0,0
"223","nhd_13395147","45.61409907","-89.43031688","2007","jun","330","infectious",0,1,0,0,0,0
"224","nhd_13393881","45.87041169","-89.71099866","2007","jun","331","summerkill",0,0,1,0,0,0
"225","nhd_14701628","44.81506159","-89.35019157","2007","jun","336","infectious",0,1,0,0,0,0
"226","nhd_13394051","45.86159555","-89.43042857","2007","jun","337","infectious",0,1,0,0,0,0
"227","nhd_13394743","45.72174304","-89.3720309","2007","jun","338","infectious",0,1,0,0,0,0
"228","nhd_1849725","46.15798536","-91.92799775","2007","jun","339","infectious",0,1,0,0,0,0
"229","nhd_1101754","44.92173331","-93.30491681","2007","jun","340","unknown",0,0,0,0,1,0
"230","nhd_1101684","44.94180224","-93.31175871","2007","jun","342","unknown",0,0,0,0,1,0
"231","nhd_1849929","46.12254076","-91.88785003","2007","jun","344","infectious",0,1,0,0,0,0
"232","nhd_6817164","45.55722705","-88.70737525","2007","jun","346","infectious",0,1,0,0,0,0
"233","nhd_13393787","45.86877783","-89.89511093","2007","jun","348","infectious",0,1,0,0,0,0
"234","nhd_1876481","44.72193194","-93.26705892","2007","jun","350","infectious",0,1,0,0,0,0
"235","nhd_7028377","47.23271423","-95.64485816","2007","jun","351","infectious",0,1,0,0,0,0
"236","nhd_2266141","45.92035458","-92.40248657","2007","jun","352","infectious",0,1,0,0,0,0
"237","nhd_1100962","44.95267471","-92.98143073","2007","jul","353","summerkill",0,0,1,0,0,0
"238","nhd_6863055","44.06997615","-88.63849539","2007","jul","354","summerkill",0,0,1,0,0,0
"239","nhd_120052443","44.01905395","-88.41003568","2007","jul","357","summerkill",0,0,1,0,0,0
"240","nhd_2032351","44.08701365","-93.48458733","2007","jul","358","infectious",0,1,0,0,0,0
"241","nhd_2031955","44.26610218","-93.35802174","2007","jul","359","summerkill",0,0,1,0,0,0
"242","nhd_6655309","46.75343087","-95.87145829","2007","jul","361","unknown",0,0,0,0,1,0
"244","nhd_9036217","44.15149633","-89.16399969","2007","jul","363","summerkill",0,0,1,0,0,0
"245","nhd_4415510","45.3324159","-95.09846875","2007","jul","364","unknown",0,0,0,0,1,0
"246","nhd_4413720","45.51619656","-95.64727163","2007","jul","365","summerkill",0,0,1,0,0,0
"247","nhd_2360642","46.24250511","-93.64625119","2007","jul","367","unknown",0,0,0,0,1,0
"248","nhd_22188808","48.28411202","-94.55923658","2007","aug","368","unknown",0,0,0,0,1,0
"250","nhd_13349304","45.97189896","-90.50822531","2007","aug","370","summerkill",0,0,1,0,0,0
"251","nhd_4120250","45.2285037","-95.00953182","2007","aug","371","unknown",0,0,0,0,1,0
"252","nhd_1101684","44.94180224","-93.31175871","2007","aug","372","unknown",0,0,0,0,1,0
"253","nhd_4251590","45.25987504","-94.96727067","2007","aug","374","infectious",0,1,0,0,0,0
"254","nhd_120051923","44.99453846","-94.93785696","2007","aug","375","infectious",0,1,0,0,0,0
"255","nhd_6579576","44.24601822","-95.86603472","2007","aug","378","unknown",0,0,0,0,1,0
"256","nhd_4415632","45.25241026","-95.05698824","2007","sep","382","infectious",0,1,0,0,0,0
"257","nhd_2365854","45.35669677","-93.33547934","2007","sep","383","unknown",0,0,0,0,1,0
"258","nhd_120052139","46.69774607","-96.03520627","2007","sep","384","unknown",0,0,0,0,1,0
"259","nhd_9398414","47.57882791","-96.23541094","2007","sep","385","unknown",0,0,0,0,1,0
"260","nhd_4966837","45.81671604","-95.34171235","2007","sep","386","unknown",0,0,0,0,1,0
"262","nhd_13409634","42.76413532","-89.97399692","2007","sep","388","infectious",0,1,0,0,0,0
"264","nhd_1101778","44.92074183","-93.23600815","2007","nov","390","infectious",0,1,0,0,0,0
"266","nhd_14767688","42.87653543","-88.11299452","2007","dec","392","winterkill",0,0,0,0,0,1
"267","nhd_1101778","44.92074183","-93.23600815","2008","jan","393","anthropogenic",1,0,0,0,0,0
"268","nhd_13079011","45.57901808","-91.45512172","2008","jan","394","winterkill",0,0,0,0,0,1
"269","nhd_13394591","45.74690323","-89.58594975","2008","feb","395","winterkill",0,0,0,0,0,1
"271","nhd_12991677","45.66952549","-90.45648922","2008","mar","397","winterkill",0,0,0,0,0,1
"272","nhd_13652612","43.59037063","-90.14512286","2008","mar","400","winterkill",0,0,0,0,0,1
"274","nhd_13631635","43.29014162","-89.66420811","2008","apr","408","winterkill",0,0,0,0,0,1
"275","nhd_12162314","43.05501134","-87.96800293","2008","apr","416","winterkill",0,0,0,0,0,1
"276","nhd_1101778","44.92074183","-93.23600815","2008","apr","423","anthropogenic",1,0,0,0,0,0
"277","nhd_13394367","45.78473092","-89.58689644","2008","apr","424","winterkill",0,0,0,0,0,1
"278","nhd_6847713","45.40257514","-87.96142947","2008","apr","425","winterkill",0,0,0,0,0,1
"279","nhd_13631701","43.18961589","-89.63006558","2008","apr","427","winterkill",0,0,0,0,0,1
"280","nhd_120052351","43.04585865","-89.34189835","2008","apr","428","winterkill",0,0,0,0,0,1
"281","nhd_13631537","43.37128488","-89.60326661","2008","apr","431","winterkill",0,0,0,0,0,1
"282","nhd_2646936","45.33604687","-92.59578522","2008","apr","433","winterkill",0,0,0,0,0,1
"283","nhd_14701628","44.81506159","-89.35019157","2008","apr","435","winterkill",0,0,0,0,0,1
"284","nhd_13394529","45.75947289","-89.12018226","2008","apr","436","winterkill",0,0,0,0,0,1
"285","nhd_13395207","45.59962231","-89.57041893","2008","apr","437","winterkill",0,0,0,0,0,1
"286","nhd_12988539","45.89413542","-89.9371561","2008","apr","438","winterkill",0,0,0,0,0,1
"287","nhd_13290790","43.15035534","-88.38192254","2008","apr","439","winterkill",0,0,0,0,0,1
"288","nhd_9036011","44.31761682","-89.32412677","2008","may","440","winterkill",0,0,0,0,0,1
"289","nhd_9035993","44.32441471","-89.35094349","2008","may","441","winterkill",0,0,0,0,0,1
"291","nhd_13078839","45.6306858","-91.9045794","2008","may","444","winterkill",0,0,0,0,0,1
"292","nhd_13078255","45.75407895","-91.56210432","2008","may","445","summerkill",0,0,1,0,0,0
"293","nhd_14618590","43.61533593","-95.61783041","2008","may","446","infectious",0,1,0,0,0,0
"294","nhd_6808490","45.19421317","-88.1858221","2008","may","447","winterkill",0,0,0,0,0,1
"295","nhd_2264087","45.83989908","-91.82496915","2008","may","448","infectious",0,1,0,0,0,0
"296","nhd_2264157","45.82058808","-91.89434304","2008","may","449","infectious",0,1,0,0,0,0
"297","nhd_22327043","47.40851899","-94.74527738","2008","may","450","infectious",0,1,0,0,0,0
"298","nhd_6819818","45.14429496","-88.21075353","2008","may","452","infectious",0,1,0,0,0,0
"299","nhd_13290696","43.27793048","-88.40778074","2008","may","453","infectious",0,1,0,0,0,0
"300","nhd_2360642","46.24250511","-93.64625119","2008","may","454","unknown",0,0,0,0,1,0
"301","nhd_1099052","45.11415825","-93.01556735","2008","jun","455","infectious",0,1,0,0,0,0
"302","nhd_13294738","42.79946894","-88.97957889","2008","jun","456","infectious",0,1,0,0,0,0
"303","nhd_13081151","45.33796505","-91.65365728","2008","jun","457","infectious",0,1,0,0,0,0
"304","nhd_2266639","45.79435278","-92.3986441","2008","jun","458","infectious",0,1,0,0,0,0
"305","nhd_12174540","44.13826755","-88.03803445","2008","jun","459","infectious",0,1,0,0,0,0
"307","nhd_13631637","43.28734786","-89.65242078","2008","jun","463","infectious",0,1,0,0,0,0
"308","nhd_2385496","44.70063382","-93.47393938","2008","jun","464","infectious",0,1,0,0,0,0
"309","nhd_6818344","45.25674202","-87.90770745","2008","jun","465","infectious",0,1,0,0,0,0
"310","nhd_6808620","45.12866135","-88.44911416","2008","jun","466","infectious",0,1,0,0,0,0
"311","nhd_1855411","45.91840533","-92.03857997","2008","jun","467","infectious",0,1,0,0,0,0
"312","nhd_2646570","45.43285233","-92.41537516","2008","jun","468","infectious",0,1,0,0,0,0
"313","nhd_2644214","45.52444075","-92.30138523","2008","jun","469","infectious",0,1,0,0,0,0
"314","nhd_2646540","45.43948782","-92.49735102","2008","jun","470","infectious",0,1,0,0,0,0
"315","nhd_2646970","45.32270887","-92.20508657","2008","jun","471","infectious",0,1,0,0,0,0
"316","nhd_13394003","45.85846397","-89.66527155","2008","jun","472","infectious",0,1,0,0,0,0
"317","nhd_13394311","45.80001716","-89.47956193","2008","jun","473","infectious",0,1,0,0,0,0
"318","nhd_13395257","45.55722544","-89.7317286","2008","jun","474","infectious",0,1,0,0,0,0
"319","nhd_4046678","44.30698677","-94.73378058","2008","jun","477","infectious",0,1,0,0,0,0
"320","nhd_13296492","42.78206178","-89.18080718","2008","jun","478","infectious",0,1,0,0,0,0
"321","nhd_1793523","46.89112409","-92.1854889","2008","jun","479","infectious",0,1,0,0,0,0
"322","nhd_120052139","46.69774607","-96.03520627","2008","jun","480","infectious",0,1,0,0,0,0
