Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Confidence.Of.Cause.Code,Cause.Category,Cause.Type,Mortality.Code,Detail.Cause.Type,Investigation.Start.Month,Cause.Category.4,Min.Kill.Size,Species,Acipenseridae,Amiidae,Catostomidae,Centrarchidae,Clupeidae,Cyprinidae,Esocidae,Gasterosteidae,Gobiidae,Ictaluridae,Lepisosteidae,Osmeridae,Percidae,Salmonidae,Sciaenidae,Bass,Bigmouth.Buffalo,Bowfin,Bluegill,Brown.Trout,Bullhead,Carp,Catfish,Channel.Catfish,Chub,Cisco,Crappie,Dace,Darter,Dogfish,Drum,Freshwater.Drum,Gar,Gizzard.Shad,Golden.Shiner,Largemouth.Bass,Minnow,Muskies,Northern.Pike,Perch,Pike,Pumpkinseed,Rainbow.Smelt,Rock.Bass,Round.Goby,Sauger,Sculpin,Shorthead.Redhorse,Smallmouth.Bass,Stickleback,Stonecat,Sturgeon,Suckerfish,Sunfish,Sunnies,Trout,Walleye,White.Sucker,Whitefish,Yellow.Perch,Lat,Long
684,400,POLK,WI,LOVELESS LAKE,LOVELESS LAKE_GENERAL LAKE STATION,2620000,122655,10004786,1174,20-Jun-08,Summer,Summer,2008,141,KNOWN,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA
685,401,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,1179,22-Jun-08,Summer,Summer,2008,231,SUSPECTED,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA
686,402,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,1378,1-Jun-09,Summer,Summer,2009,231,KNOWN,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,Large Number,0,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
687,403,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,2659,30-May-12,Summer,Winter,2012,231,KNOWN,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,May,INFECTIOUS AGENT,Fair Number,0,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
688,404,POLK,WI,SOMERS LAKE,SOMERS LAKE_GENERAL LAKE STATION,2665900,113128,10005046,1723,1-Jun-10,Summer,Summer,2010,101,SUSPECTED,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,UNKNOWN,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
689,405,POLK,WI,STRAIGHT LAKE,STRAIGHT LAKE_GENERAL LAKE STATION,2627800,113337,10005010,3593,10-Mar-14,Winter,Winter,2014,120,KNOWN,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,SELECTIVE,DISSOLVED OXYGEN,Mar,WINTERKILL,UNKNOWN,0,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
690,406,POLK,WI,VINCENT LAKE,VINCENT LAKE_GENERAL LAKE STATION,2598500,121734,10004968,2169,21-Mar-11,Winter,Winter,2011,70.2,KNOWN,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,DISSOLVED OXYGEN,Mar,WINTERKILL,UNKNOWN,1,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
691,407,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,1459,22-Jun-09,Summer,Summer,2009,1187,SUSPECTED,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,Excludable,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
692,408,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,1796,7-Jun-10,Summer,Summer,2010,1187,SUSPECTED,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA
693,409,POLK,WI,WAPOGASSET LAKE,WAPOGASSET LAKE_GENERAL LAKE STATION,2618000,123680,10004780,2260,17-Jun-11,Summer,Summer,2011,1186,SUSPECTED,NATURAL,INFECTIOUS AGENTS,SELECTIVE,COLUMNARIS,Jun,INFECTIOUS AGENT,Large Number,1,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
